Target,Text
0,Im देर से बताओ मेरे रास्ते पर im
0,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-"
0,Good morning princess! Have a great day!
0,अरे क्या आपकी परियोजना के बारे में। अहा दा शुरू किया।
0,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...
0,Yup ok...
0,That one week leave i put know that time. Why.
0,Rofl. Its true to its name
0,"BTW इस बारे में कि हमें वास्तव में यह देखने की कोशिश करनी चाहिए कि क्या कोई और हमारे 4 वें आदमी हो सकता है, इससे पहले कि हम एक यादृच्छिक दोस्त के लिए प्रतिबद्ध हों"
0,क्या मुझे मेरी थैली मिलेगी?
0,Draw va?i dont think so:)
0,On the way to office da..
0,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
0,"वह सीमावर्ती है, लेकिन हाँ जो भी हो।"
0,यू निश्चित रूप से ई मानविकी डिस सेम izzit से एक मॉड्यूल की आवश्यकता है? यू वान 2 अन्य मॉड्यूल 1 ले जाएं?
0,Well obviously not because all the people in my cool college life went home ;_;
0,"Sorry, got a late start, we're on the way"
0,Just normal only here :)
0,"हां, लेकिन यह आंतरिक उप -प्रदर्शन को प्रदर्शित नहीं कर सकता है, इसलिए मैं उन्हें निकाल देगा"
0,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
0,ताकि कुछ पैसे की चिंता हो जाए
1,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?"
0,यहाँ मेरा नया पता -एपल और जोड़े और वह सब है
0,गोबी आर्ट्स कॉलेज में
0,यह कक्षा में है :-)
0,क्या आप ठीक हैं। इस तरह का व्यवहार करने के लिए क्या होता है
0,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee..."
0,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?
0,No. Did you multimedia message them or e-mail?
1,अति आवश्यक! आपके मोबाइल नंबर को <ukp> 2000 पुरस्कार की गारंटी दी गई है। लैंडलाइन से 09061790125 पर कॉल करें। दावा 3030. वैध 12hrs केवल 150ppm
0,Ha ha ha good joke. Girls are situation seekers.
1,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
1,Missed call alert. These numbers called but left no message. 07008009200
1,एसएमएस नीलामी आपने एक नोकिया 7250i जीता है। जब आप हमारी मुफ्त नीलामी जीतते हैं तो आपको यह मिलता है। भाग लेने के लिए अब नोकिया को 86021 पर भेजें। HG/SUITE342/2LANDS ROW/W1JHL 16+
0,You still around? I could use a half-8th
0,No b4 Thursday
0,When/where do I pick you up
1,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
0,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
0,Leave it wif me lar... Ü wan to carry meh so heavy... Is da num 98321561 familiar to ü?
0,Staff of placement training in Amrita college.
0,"* Was really good to see you the other day dudette, been missing you!"
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.
0,Yes.mum lookin strong:)
0,I have no idea where you are
0,It shall be fine. I have avalarr now. Will hollalater
0,मैंने गलती से संदेश हटा दिया। कृपया फिर से तैयार करें।
0,ठीक है। मैं एक सज्जन हूं और आपके साथ सम्मान और सम्मान के साथ व्यवहार करूंगा।
0,बस यह तय नहीं किया है कि अभी तक एह कहां है?
1,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
0,हाय petey! Noi��m ठीक है बस 2 चैट coz avent बोली 2 u 4 एक लंबे समय-hope ur doin alrite.have अच्छा नाइट js love ya am.x पर
0,Hey so whats the plan this sat? 
0,Dare i ask... Any luck with sorting out the car?
1,क्या आपका मोबाइल 10 मीटर था? मुफ्त में नवीनतम नारंगी कैमरा/वीडियो फोन पर अपडेट करें। मुफ्त ग्रंथों/सप्ताहांत कॉल के साथ सहेजें। पाठ हाँ एक कॉलबैक orno के लिए बाहर निकलने के लिए
0,"An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear...."""
0,फिर आप हॉस्टल क्यों आए।
1,"O2 से अनुस्मारक: 2.50 पाउंड मुफ्त कॉल क्रेडिट प्राप्त करने के लिए और महान ऑफ़र का विवरण pls उत्तर 2 यह पाठ आपके वैध नाम, घर नहीं और पोस्टकोड के साथ"
0,I.ll hand her my phone to chat wit u
0,"वे पिछले साल एक दिन नहीं खेलते थे, भले ही उनके पास बहुत अच्छी टीम है .. भारत की तरह।"
0,"Since when, which side, any fever, any vomitin."
0,Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.
1,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
0,You are gorgeous! keep those pix cumming :) thank you!
0,"आप इस पर कभी विश्वास नहीं करेंगे, लेकिन मैं वास्तव में टुनटन में उतर गया हूं। बहुत खूब"
0,"ब्रूव क्या है, आशा है कि आपके पास एक महान ब्रेक था। एक पुरस्कृत सेमेस्टर है।"
0,"अच्छी तरह से किया, blimey, व्यायाम, हाँ, मुझे याद है कि wot है, हम्म।"
0,मैं जानकारी प्राप्त करने में चला गया हूँ bt नहीं पता है कि क्या करना है
0,भारत को नेतृत्व करना है :)
0,Also hi wesley how've you been
0,I think it's all still in my car
0,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota
0,Give one miss from that number please
0,"I sent you the prices and do you mean the  &lt;#&gt; g,"
0,मेरे फोन पर बेवकूफ ऑटो सही है
1,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r
0,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now."
1,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
0,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
1,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF
0,My sister cleared two round in birla soft yesterday.
1,एक ऋण से इनकार कर दिया? सुरक्षित या असुरक्षित? क्रेडिट नहीं मिल सकता है? अब मुफ्त कॉल करें 0800 195 6669 या टेक्स्ट बैक 'हेल्प' और हम करेंगे!
1,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
0,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
0,Ceri U Rebel! स्वीट ड्रीमज़ मी लिटिल बडी !! C YA 2MORO! जो ब्लॉक्स की जरूरत है
0,मेरे भाई और उसके परिवार के साथ घूमना
0,"This is one of the days you have a billion classes, right?"
0,they released another Italian one today and it has a cosign option
0,Tell me something. Thats okay.
0,Your right! I'll make the appointment right now.
1,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
0,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
1,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
0,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...
0,Yes.he have good crickiting mind
0,सही है? ठीक है शुक्रिया...
0,Will be out of class in a few hours. Sorry
0,एचसीएल चेन्नई को वॉयस प्रोसेस के लिए फ्रेशर्स की आवश्यकता होती है। .Call Ms.Suman & lt;#& gt; टेलीफ़ोनिक साक्षात्कार के लिए -via indyarocks.com
0,हाँ ठीक है ...
0,"मैं जैक को किसी भी चीज़ के बारे में नहीं जानता या मैं कहूंगा/कुछ उपयोगी कहूंगा, लेकिन अगर आप चाहें तो आप यह दिखावा कर सकते हैं कि मैंने किया था और मुझे केवल हाइपोथीटुगौआहाहुगाहुहगगगा के जवाब में पाठ करना चाहिए।"
0,A bloo bloo bloo I'll miss the first bowl
0,I'm really not up to it still tonight babe
0,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;"
0,What happen dear. Why you silent. I am tensed
1,* नि: शुल्क* पॉलीफोनिक रिंगटोन टेक्स्ट सुपर 87131 को अब सप्ताह के अपने मुफ्त पॉली टोन प्राप्त करने के लिए! 16 SN POBOX202 NR31 7ZS सदस्यता 450PW
0,बस एक पिज्जा खरीदें। मांस प्रेमी या सर्वोच्च। यू लेने के लिए।
0,Ok both our days. So what are you making for dinner tonite? Am I invited?
0,आप किस समय बाहर निकलते हैं?
1,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
0,Ok i go change also...
0,U meet other fren dun wan meet me ah... Muz b a guy rite...
0,"Yes, my reg is  Ciao!"
0,Dunno da next show aft 6 is 850. Toa payoh got 650.
1,"उर स्मार्ट लगता है? हमारे साप्ताहिक क्विज़ में इस हफ्ते �200 जीतें, 85222 पर टेक्स्ट प्ले! टी एंड सीएस विजेताक्लब पीओ बॉक्स 84, एम 26 3uz। 16+। GBP1.50/सप्ताह"
0,"अरे मीठा, मैं सोच रहा था कि जब आप मेरे पास आ सकते हैं तो आपके पास एक पल था? मैं किसी को एक फ़ाइल भेजना चाहता हूं, लेकिन यह उनके लिए याहू पर नहीं जाएगा क्योंकि उनका कनेक्शन बेकार है, याद रखें कि जब आप मेरे लिए उस पेज को सेट करते हैं और प्रारूप डिस्क को डाउनलोड करते हैं? क्या आप मुझे बता सकते हैं कि उसे कैसे करना है ? या क्या आप बड़ी फ़ाइलों को डाउनलोड करने के लिए कोई और तरीका जानते हैं? क्योंकि वे सीधे इंटरनेट से सामान डाउनलोड कर सकते हैं। किसी भी मदद महान होगी, मेरे शिकार ... *चिढ़ाते हुए चुंबन *"
0,मैं भी कमरे में आया हूं।
0,"Not really dude, have no friends i'm afraid :("
0,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over."
0,U WILL SWITCH YOUR FONE ON DAMMIT!!
0,I dled 3d its very imp
0,You call him now ok i said call him
1,अब आप सभी सेवाओं को रद्द कर रहे हैं। अपने फोन पर सीधे सेक्सी लड़कियां या हंक्स प्राप्त करें! http://gotbabes.co.uk पर जाएं। कोई सदस्यता नहीं।
0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
0,"I dont knw pa, i just drink milk.."
0,"ज़रूर, जब भी आप बकवास दिखाते हैं & gt; :("
0,"जो भी हो, जुलियाना। आप जो चाहे करें।"
0,No that just means you have a fat head
1,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p
0,Where wuld I be without my baby? The thought alone mite break me and I don’t wanna go crazy but everyboy needs his lady xxxxxxxx
0,Do you want bold 2 or bb torch
1,-प्ल्स स्टॉप बूटीडेलियस (32/एफ) आपको उसका दोस्त बनने के लिए आमंत्रित कर रहा है। उत्तर हां -434 या NO-434 उसे देखें: www.sms.ac/u/bootydelious STOP? 62468 पर STOP FRND भेजें
0,So what about you. What do you remember
1,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
0,Also hi wesley how've you been
0,"सॉरी सर, मैं आपको कल फोन करूंगा। Sunshil.hsbc"
0,Probably a couple hours tops
0,यही कारण है कि मैं आपको कभी भी यह नहीं बताना चाहता था। यही कारण है कि मैं आपके साथ बहुत छोटा हूं और देर से ऑन-एज हूं।
0,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
0,"हाय मेट इसके आरवी ने यू हवलदार एक अच्छा होल किया, बस एक संदेश 3 का कहना है कि हेलो कोज हेवन ने यू 1 को उम्र में भेजा है, इसलिए सड़क पर रहना शुरू कर दिया! आरवीएक्स!"
0,हां। मुझे गुलाबी फर्नीचर थियो पसंद है।
0,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
0,उस लिप केवबॉय को न दें
0,Or ü go buy wif him then i meet ü later can?
0,"Alright, I'll head out in a few minutes, text me where to meet you"
0,I see the letter B on my car
1,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
0,एलेक्स से उसके पिज्जा के बारे में पूछना याद रखें
0,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt
0,"Sir Goodmorning, Once free call me."
0,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
0,"Okey dokey, i‘ll be over in a bit just sorting some stuff out."
0,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.
0,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
0,नमस्ते। || क्या आप चाहते हैं | बाद में एसटीएस के साथ मेरे साथ जुड़ने के लिए? || उनसे पांच बजे मिलना। || क्लास के बाद यू कॉल करें।
0,बस आपसे बात करते हुए खुशी हुई।
0,Forgot to tell ü smth.. Can ü like number the sections so that it's clearer..
0,Hey morning what you come to ask:-) pa...
0,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
0,"Don't Think About ""What u Have Got"" Think About ""How to Use It That You Have Got"" gooD ni8"
0,No one interested. May be some business plan.
0,Hey are we going for the lo lesson or gym?
0,यू वान 2 हफ़ लंच मैं अब दा कैंटीन में हूँ।
0,It took Mr owl 3 licks
0,Must come later.. I normally bathe him in da afternoon mah..
0,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
0,किसी को प्यार करने के लिए इसकी किस्मत। इसका उर भाग्य उस से प्यार करने के लिए है जो यू से प्यार करता है लेकिन
0,"Sorry, went to bed early, nightnight"
0,Dont show yourself. How far. Put new pictures up on facebook.
0,Carlos'll be here in a minute if you still need to buy
0,दोपहर के भोजन के बाद मिलें ...
0,"Thk shld b कर सकते हैं ... हां, मैं 4 सबक जाता हूं ... हाहा, एक पूरे खिंचाव के लिए जा सकता है ..."
0,"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that."
0,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
1,अच्छी खबर! अपने गारंटीकृत �1000 नकद या �2000 उपहार का दावा करने के लिए FreeFone 080063444447 पर कॉल करें। अब एक लाइव ऑपरेटर से बात करें!
0,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)
0,"हाँ, पहले से ही नहीं ... थैंक्स 4 प्रिंटिंग एन इसे सौंप रहा है।"
1,"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
1,अति आवश्यक! हम यू। से संपर्क करने की कोशिश कर रहे हैं। लैंड लाइन से 09050003091 पर कॉल करें। C52 का दावा करें। केवल 12hrs मान्य
